ip,attacks,risk_score,risk_level,risk_reasons,asn,asn_name,asn_org,asn_source,rdap_source,tor_exit,spamhaus_drop,spamhaus_asndrop,feed_hits,bph_flag,bph_label,bph_confidence,bph_note
91.92.40.202,7526,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.156.87.13,7351,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.153.34.112,5009,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
92.118.39.77,1634,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
213.209.159.115,1194,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.21,1035,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
80.94.95.211,883,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
2.57.122.209,619,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
93.123.109.228,496,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
195.178.110.137,376,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.142.193.161,164,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.194.92.40,105,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS215925,VPSVAULTHOST,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.148.189,100,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
85.11.167.7,87,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.148.146,83,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
204.76.203.43,78,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
130.12.180.65,69,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS202412,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.142.193.18,65,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
204.76.203.49,58,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
101.36.106.134,55,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS135377,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
185.242.3.191,52,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.135.194.113,52,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
2.57.122.238,50,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.142.193.145,50,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
204.76.203.81,40,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
80.94.92.67,38,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.153.34.32,37,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.148.10.230,35,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.78,35,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.135.193.159,33,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
213.209.159.66,30,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
193.32.162.42,29,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.36,29,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
64.89.163.141,26,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.142.193.164,25,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
79.124.62.134,24,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.148.10.121,23,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
101.36.116.230,22,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS135377,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.148.10.151,22,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.83.39.94,22,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
62.60.130.219,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS215930,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
77.83.39.15,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
79.124.62.126,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
64.89.163.133,20,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
77.90.185.16,20,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
213.177.179.79,19,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
64.89.160.135,19,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS205759,GHOSTYNETWORKS,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.149.182,18,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
2.57.122.53,18,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
213.209.159.26,18,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.141.215.7,18,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS210558,services-1337-gmbh,lir-de-1337services-1-MNT,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
193.32.162.84,17,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
195.178.110.227,17,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
80.94.95.43,17,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
2.57.122.103,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.142.193.169,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
64.89.163.156,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
79.124.62.178,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
80.94.95.83,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
94.154.43.197,16,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.21,15,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
79.124.62.230,14,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
36.255.97.28,13,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS205759,GHOSTYNETWORKS,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.142.193.35,13,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
178.20.210.151,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS210006,ASKZ,admin-c,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
213.209.159.154,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
213.209.159.25,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
36.255.97.40,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS205759,GHOSTYNETWORKS,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
62.60.130.148,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS215930,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
91.224.92.92,12,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS209605,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.148.10.157,11,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.20,11,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
77.83.39.6,10,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
92.118.39.74,10,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
46.151.182.39,9,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS205759,GHOSTYNETWORKS,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
192.159.99.144,8,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS210558,services-1337-gmbh,lir-de-1337services-1-MNT,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
5.252.83.162,8,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.161,8,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
64.89.163.149,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
80.94.95.105,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
91.92.40.8,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.15,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.215,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.24,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.250,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.82,7,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
158.94.211.230,6,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS202412,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
94.154.43.51,6,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.148.226,5,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
185.93.89.154,5,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
193.32.162.214,5,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
91.92.40.176,5,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
